gender,SeniorCitizen,Partner,Dependents,tenure,customerID,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Cuentas_Diarias,Churn
Male,0,No,No,46,5575-TPIZQ,Month-to-month,Yes,Credit card (automatic),89.15,4245.55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,2.9716666666666667,No
Female,0,No,No,15,5577-OTWWW,Month-to-month,No,Bank transfer (automatic),19.75,297.3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6583333333333333,Yes
Female,0,Yes,Yes,58,5578-NKCXI,One year,No,Credit card (automatic),99.25,5846.65,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,3.308333333333333,No
Male,0,Yes,Yes,44,5583-EJXRD,Two year,Yes,Credit card (automatic),54.05,2375.2,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,1.8016666666666665,No
Male,0,Yes,No,1,5583-SXDAG,Month-to-month,No,Electronic check,70.0,70.0,Yes,No,Fiber optic,No,No,No,No,No,No,2.3333333333333335,Yes
Male,0,No,No,22,5590-BYNII,Month-to-month,Yes,Electronic check,100.75,2095.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,3.3583333333333334,Yes
Female,0,Yes,No,20,5590-YRFJT,Month-to-month,Yes,Electronic check,24.45,482.8,No,No phone service,DSL,No,No,No,No,No,No,0.815,Yes
Female,0,Yes,Yes,8,5590-ZSKRV,Month-to-month,No,Mailed check,54.65,482.25,Yes,No,DSL,Yes,Yes,No,No,No,No,1.8216666666666665,No
Female,0,Yes,Yes,24,5593-SUAOO,One year,No,Bank transfer (automatic),83.15,2033.05,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,2.771666666666667,No
Female,0,No,No,1,5597-GLBUC,Month-to-month,Yes,Electronic check,85.45,85.45,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,2.8483333333333336,Yes
Female,0,No,No,72,5598-IKHQQ,Two year,No,Credit card (automatic),25.45,1866.45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8483333333333333,No
Female,1,No,No,14,5599-HVLTW,Month-to-month,Yes,Bank transfer (automatic),80.35,1058.1,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,2.6783333333333332,No
Male,0,Yes,Yes,2,5600-KTXFM,Month-to-month,No,Mailed check,69.95,143.9,Yes,No,Fiber optic,No,No,No,No,No,No,2.3316666666666666,No
Male,0,No,No,6,5600-PDUJF,Month-to-month,Yes,Credit card (automatic),49.5,312.7,Yes,No,DSL,No,No,No,Yes,No,No,1.65,No
Female,0,No,No,12,5602-BVFMK,One year,No,Mailed check,19.3,228.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6433333333333333,No
Female,0,No,No,7,5605-IYGFG,Month-to-month,Yes,Bank transfer (automatic),69.85,515.45,Yes,No,Fiber optic,No,No,No,No,No,No,2.328333333333333,No
Male,1,Yes,No,72,5605-XNWEN,Two year,Yes,Bank transfer (automatic),25.0,1802.55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8333333333333334,No
Female,0,Yes,No,10,5606-AMZBO,Month-to-month,Yes,Credit card (automatic),78.15,765.15,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,2.605,No
Female,1,No,No,20,5609-CEBID,Month-to-month,Yes,Electronic check,94.1,1782.4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,3.1366666666666663,Yes
Female,0,No,No,15,5609-IMCGG,Month-to-month,Yes,Credit card (automatic),84.35,1302.65,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,2.8116666666666665,No
Female,0,No,No,58,5614-DNZCE,Two year,Yes,Credit card (automatic),64.9,3795.45,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,2.1633333333333336,No
Male,0,No,Yes,20,5616-PRTNT,Month-to-month,Yes,Electronic check,19.4,374.5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6466666666666666,Yes
Female,0,Yes,No,46,5619-PTMIK,Month-to-month,No,Electronic check,53.1,2459.8,Yes,Yes,DSL,Yes,No,No,No,No,No,1.77,No
Male,0,No,No,4,5619-XZZKR,One year,No,Mailed check,19.95,68.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6649999999999999,No
Female,0,Yes,Yes,35,5622-UEJFI,Two year,Yes,Credit card (automatic),25.4,949.8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8466666666666666,No
Female,0,No,No,1,5624-BQSSA,Month-to-month,No,Mailed check,20.95,20.95,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6983333333333334,Yes
Female,0,No,No,9,5624-RYAMH,Month-to-month,Yes,Electronic check,19.5,178.85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.65,No
Female,0,No,No,20,5626-MGTUK,Month-to-month,Yes,Bank transfer (automatic),89.1,1879.25,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,2.9699999999999998,No
Female,0,No,Yes,35,5627-TVBPP,One year,Yes,Credit card (automatic),20.1,644.5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.67,No
Male,0,No,No,21,5628-FCGYG,Month-to-month,Yes,Electronic check,84.1,1737.45,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,2.8033333333333332,No
Female,1,No,No,49,5628-RKIFK,Month-to-month,No,Credit card (automatic),101.55,5070.4,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,3.385,No
Female,0,No,Yes,3,5630-AHZIL,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,Yes,No,DSL,Yes,No,No,Yes,No,Yes,2.15,No
Female,0,No,No,47,5630-IXDXV,Month-to-month,Yes,Electronic check,106.35,4849.1,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.545,No
Male,0,No,Yes,13,5639-NTUPK,Month-to-month,Yes,Credit card (automatic),52.1,670.65,Yes,No,DSL,Yes,No,No,No,No,No,1.7366666666666668,No
Female,0,No,No,30,5640-CAXOA,One year,Yes,Credit card (automatic),40.35,1187.05,No,No phone service,DSL,No,No,No,Yes,No,Yes,1.345,No
Female,0,Yes,No,58,5641-DMBFJ,Two year,Yes,Electronic check,84.3,4916.4,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,2.81,No
Female,0,Yes,Yes,53,5642-MHDQT,One year,Yes,Bank transfer (automatic),19.85,1039.45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6616666666666667,No
Female,1,No,No,2,5644-PDMZC,Month-to-month,No,Electronic check,89.5,161.5,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,2.9833333333333334,Yes
Female,1,Yes,No,60,5647-FXOTP,Month-to-month,Yes,Electronic check,105.9,6401.25,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.5300000000000002,No
Male,0,Yes,Yes,8,5647-URDKA,Two year,No,Mailed check,19.7,130.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6566666666666666,No
Male,1,No,No,2,5649-ANRML,Month-to-month,Yes,Credit card (automatic),95.1,180.25,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,3.17,Yes
Male,0,No,No,51,5649-RXQTV,Month-to-month,Yes,Electronic check,99.0,5038.15,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.3,No
Male,1,Yes,No,27,5649-TJHOV,Month-to-month,No,Bank transfer (automatic),36.5,1032.0,No,No phone service,DSL,No,No,No,No,No,Yes,1.2166666666666666,Yes
Female,0,No,No,12,5649-VUKMC,One year,No,Mailed check,95.5,1115.15,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,3.183333333333333,Yes
Female,0,No,No,4,5650-VDUDS,Month-to-month,Yes,Mailed check,24.25,96.05,No,No phone service,DSL,No,No,No,No,No,No,0.8083333333333333,Yes
Male,0,No,No,31,5650-YLIBA,Month-to-month,Yes,Electronic check,81.15,2640.55,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,2.705,No
Male,0,No,No,10,5651-CPDND,Month-to-month,No,Mailed check,46.0,492.1,Yes,No,DSL,No,No,No,No,No,No,1.5333333333333334,No
Female,0,Yes,No,41,5651-CRHKQ,One year,Yes,Bank transfer (automatic),86.2,3339.05,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,2.8733333333333335,No
Female,1,No,No,18,5651-WYIPH,Month-to-month,Yes,Credit card (automatic),49.85,865.75,Yes,No,DSL,No,Yes,No,No,No,No,1.6616666666666666,No
Female,0,Yes,Yes,32,5651-YLPRD,Month-to-month,Yes,Electronic check,86.1,2723.75,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,2.8699999999999997,No
Female,0,No,No,10,5652-MSDEY,Month-to-month,Yes,Mailed check,75.75,777.3,Yes,Yes,Fiber optic,No,No,No,No,No,No,2.525,No
Male,1,No,No,49,5655-JSMZM,Month-to-month,Yes,Electronic check,96.2,4718.25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,3.2066666666666666,Yes
Male,0,No,No,62,5656-JAMLX,Two year,No,Bank transfer (automatic),19.85,1253.65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6616666666666667,No
Male,0,Yes,Yes,42,5656-MJEFC,Two year,No,Credit card (automatic),48.15,2032.3,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,1.605,No
Male,1,Yes,No,72,5663-QBGIS,Two year,No,Bank transfer (automatic),98.35,6929.4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,3.2783333333333333,No
Female,0,No,No,24,5666-CYCYZ,Month-to-month,Yes,Electronic check,89.55,2259.35,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,2.985,No
Male,0,No,No,65,5666-MBJPT,Two year,Yes,Bank transfer (automatic),25.1,1725.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8366666666666667,No
Female,0,Yes,Yes,72,5668-MEISB,Two year,No,Credit card (automatic),106.1,7657.4,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,3.5366666666666666,No
Female,0,No,No,5,5669-SRAIP,Month-to-month,No,Electronic check,39.5,210.75,No,No phone service,DSL,No,No,Yes,No,No,Yes,1.3166666666666667,Yes
Female,1,Yes,No,70,5671-RQRLP,Two year,Yes,Credit card (automatic),75.65,5411.4,Yes,Yes,Fiber optic,No,No,No,No,No,No,2.521666666666667,No
Female,1,Yes,No,50,5671-UUNXD,One year,Yes,Electronic check,100.65,5189.75,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,3.355,No
Female,0,No,No,1,5673-FSSMF,Month-to-month,Yes,Electronic check,60.15,60.15,Yes,Yes,DSL,No,No,No,No,No,Yes,2.005,Yes
Male,0,No,No,2,5673-TIYIB,Month-to-month,Yes,Credit card (automatic),40.4,77.15,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,1.3466666666666667,Yes
Male,0,Yes,Yes,71,5676-CFLYY,Two year,Yes,Credit card (automatic),73.35,5154.5,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,2.445,No
Female,0,Yes,No,71,5678-VFNEQ,One year,Yes,Credit card (automatic),104.1,7412.25,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,3.4699999999999998,No
Female,0,No,No,68,5680-LQOGP,Two year,Yes,Credit card (automatic),82.45,5646.6,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2.7483333333333335,No
Male,0,Yes,Yes,43,5681-LLOEI,One year,Yes,Credit card (automatic),91.25,4013.8,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,3.0416666666666665,No
Female,0,Yes,Yes,72,5684-FJVYR,Two year,Yes,Bank transfer (automatic),90.35,6563.4,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,3.0116666666666663,No
Female,0,Yes,Yes,5,5685-IIXLY,Month-to-month,Yes,Electronic check,83.6,404.2,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,2.7866666666666666,Yes
Male,0,No,No,17,5686-CMAWK,One year,No,Electronic check,86.75,1410.25,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,2.8916666666666666,No
Female,0,No,No,4,5687-DKDTV,Month-to-month,No,Mailed check,20.35,77.5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6783333333333333,Yes
Male,0,Yes,Yes,15,5688-KZTSN,Month-to-month,Yes,Electronic check,20.0,288.05,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6666666666666666,Yes
Female,0,No,No,1,5692-FPTAH,Month-to-month,Yes,Mailed check,45.4,45.4,Yes,No,DSL,No,No,No,No,No,No,1.5133333333333332,Yes
Male,1,No,No,31,5692-ICXLW,Month-to-month,Yes,Electronic check,90.7,2845.15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,3.0233333333333334,No
Male,0,No,No,41,5693-PIPCS,Two year,Yes,Credit card (automatic),99.65,4220.35,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,3.3216666666666668,No
Male,0,Yes,Yes,67,5696-CEIQJ,Two year,No,Bank transfer (automatic),103.15,6895.5,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3.4383333333333335,No
Male,0,No,No,17,5696-EXCYS,Two year,No,Credit card (automatic),19.45,369.05,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6483333333333333,No
Female,0,Yes,Yes,48,5696-JVVQY,Two year,Yes,Credit card (automatic),70.1,3238.4,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,2.3366666666666664,No
Male,0,No,No,1,5696-QURRL,Month-to-month,Yes,Mailed check,45.05,45.05,Yes,No,DSL,No,No,No,No,No,No,1.5016666666666665,Yes
Female,1,Yes,Yes,28,5697-GOMBF,Month-to-month,Yes,Electronic check,35.9,973.65,No,No phone service,DSL,No,No,No,No,Yes,No,1.1966666666666665,No
Female,0,No,No,9,5698-BQJOH,Month-to-month,No,Electronic check,94.4,857.25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,3.146666666666667,Yes
Male,1,No,No,71,5699-BNCAS,Two year,Yes,Mailed check,24.65,1766.75,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8216666666666667,No
Female,0,Yes,No,26,5701-GUXDC,One year,No,Credit card (automatic),35.4,978.6,No,No phone service,DSL,Yes,No,Yes,No,No,No,1.18,No
Female,0,No,Yes,1,5701-SVCWR,Month-to-month,No,Mailed check,24.0,24.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8,No
Female,1,Yes,No,11,5701-YVSVF,Month-to-month,Yes,Electronic check,82.9,880.05,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,2.7633333333333336,No
Male,0,No,No,13,5701-ZIKJE,Month-to-month,Yes,Mailed check,50.55,610.75,Yes,No,DSL,No,No,No,Yes,No,No,1.6849999999999998,No
Male,0,Yes,No,71,5702-KVQRD,Two year,Yes,Electronic check,82.55,5832.65,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,2.7516666666666665,No
Female,0,Yes,No,4,5702-SKUOB,Month-to-month,No,Mailed check,19.6,93.45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6533333333333334,No
Male,1,No,No,9,5707-ORNDZ,Month-to-month,No,Electronic check,54.55,494.05,Yes,Yes,DSL,Yes,No,No,No,No,No,1.8183333333333331,Yes
Male,0,Yes,Yes,53,5707-ZMDJP,Two year,Yes,Mailed check,69.7,3729.6,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,2.3233333333333333,No
Female,0,Yes,Yes,58,5708-EVONK,Month-to-month,Yes,Bank transfer (automatic),93.4,5435.6,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,3.1133333333333337,Yes
Female,0,Yes,Yes,0,5709-LVOEQ,Two year,No,Mailed check,80.85,0.0,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,2.695,No
Female,0,No,No,43,5712-AHQNN,Month-to-month,Yes,Electronic check,91.65,3954.1,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,3.055,No
Male,0,No,No,2,5712-PTIWW,Month-to-month,Yes,Electronic check,79.85,152.45,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,2.6616666666666666,Yes
Female,0,No,No,4,5712-VBOXD,Month-to-month,Yes,Credit card (automatic),20.15,68.45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6716666666666666,No
Female,0,Yes,Yes,65,5716-EZXZN,Two year,Yes,Credit card (automatic),99.05,6416.7,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,3.3016666666666667,No
Female,0,No,Yes,13,5716-LIBJC,One year,Yes,Credit card (automatic),104.15,1299.1,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.4716666666666667,No
Male,0,Yes,No,49,5724-BIDBU,One year,Yes,Electronic check,55.35,2633.95,Yes,Yes,DSL,Yes,No,No,No,No,No,1.845,No
Female,0,Yes,Yes,8,5726-CVNYA,Two year,Yes,Mailed check,19.85,146.6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6616666666666667,No
Male,0,Yes,Yes,72,5727-MYATE,Two year,Yes,Credit card (automatic),90.8,6397.6,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,3.0266666666666664,No
Female,0,Yes,Yes,4,5729-KLZAR,Month-to-month,No,Electronic check,80.85,302.75,Yes,No,Fiber optic,No,No,No,No,No,Yes,2.695,Yes
Male,0,No,No,66,5730-DBDSI,Two year,No,Bank transfer (automatic),19.7,1253.8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6566666666666666,No
Female,1,No,No,43,5730-RIITO,Month-to-month,Yes,Credit card (automatic),33.45,1500.25,No,No phone service,DSL,Yes,Yes,No,No,No,No,1.115,No
Male,1,Yes,No,52,5732-IKGQH,One year,Yes,Bank transfer (automatic),104.45,5481.25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,3.481666666666667,No
Female,0,No,No,61,5734-EJKXG,One year,Yes,Electronic check,118.6,7365.7,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.953333333333333,No
Male,0,No,Yes,69,5736-YEJAX,Two year,Yes,Credit card (automatic),79.45,5502.55,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,2.6483333333333334,No
Male,0,Yes,Yes,70,5740-YHGTW,Month-to-month,Yes,Credit card (automatic),97.55,6669.05,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,3.2516666666666665,No
Male,0,No,No,71,5743-KHMNA,Two year,No,Bank transfer (automatic),25.55,1898.1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8516666666666667,No
Male,1,Yes,No,10,5747-PMBSQ,Month-to-month,Yes,Mailed check,92.5,934.1,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,3.0833333333333335,Yes
Male,0,No,No,69,5748-RNCJT,Two year,Yes,Bank transfer (automatic),106.5,7348.8,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,3.55,Yes
Male,0,Yes,Yes,46,5751-USDBL,Two year,No,Mailed check,81.0,3846.35,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,2.7,No
Female,0,No,No,28,5753-QQWPW,One year,Yes,Electronic check,59.9,1654.7,Yes,No,DSL,Yes,Yes,No,Yes,No,No,1.9966666666666666,No
Female,0,No,No,11,5756-JYOJT,One year,No,Credit card (automatic),64.9,697.25,Yes,No,DSL,No,No,Yes,Yes,No,Yes,2.1633333333333336,No
Male,1,Yes,No,61,5756-OZRIO,One year,No,Bank transfer (automatic),64.05,3902.6,Yes,Yes,DSL,No,Yes,No,No,No,Yes,2.135,No
Female,0,No,No,3,5759-RCVCB,Month-to-month,No,Credit card (automatic),35.2,108.95,No,No phone service,DSL,No,No,No,No,Yes,No,1.1733333333333333,Yes
Male,0,No,No,6,5760-FXFVO,Month-to-month,Yes,Electronic check,78.95,494.95,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,2.631666666666667,No
Male,0,No,No,3,5760-IFJOZ,Month-to-month,No,Mailed check,107.95,313.6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.5983333333333336,No
Female,1,No,No,22,5760-WRAHC,Month-to-month,Yes,Mailed check,69.75,1545.4,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,2.325,No
Female,0,No,No,52,5762-TJXGK,Two year,Yes,Bank transfer (automatic),58.75,3038.55,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,1.9583333333333333,No
Male,0,Yes,No,72,5766-FTRTS,Two year,No,Mailed check,84.45,6033.1,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2.815,No
Female,0,No,No,29,5766-XQXMQ,Month-to-month,Yes,Bank transfer (automatic),68.85,1970.5,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,2.295,Yes
Male,0,No,No,1,5766-ZJYBB,Month-to-month,No,Mailed check,19.4,19.4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6466666666666666,Yes
Male,0,Yes,Yes,50,5774-QPLTF,One year,Yes,Mailed check,20.35,938.95,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6783333333333333,No
Female,0,Yes,Yes,7,5774-XZTQC,Month-to-month,No,Mailed check,20.45,150.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6816666666666666,No
Female,0,No,No,40,5777-KJIRB,One year,Yes,Mailed check,50.25,2023.55,Yes,No,DSL,No,No,Yes,No,No,No,1.675,No
Female,0,No,No,12,5777-ZPQNC,One year,No,Electronic check,20.15,260.7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6716666666666666,No
Female,0,No,No,9,5778-BVOFB,Month-to-month,Yes,Bank transfer (automatic),59.5,530.05,Yes,No,DSL,No,No,No,Yes,Yes,No,1.9833333333333334,No
Female,0,No,No,8,5780-INQIK,Month-to-month,No,Electronic check,49.4,408.25,Yes,No,DSL,No,No,No,Yes,No,No,1.6466666666666667,No
Female,0,Yes,No,72,5781-BKHOP,Two year,No,Bank transfer (automatic),100.65,7334.05,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,3.355,No
Male,0,Yes,No,71,5781-RFZRP,Two year,No,Credit card (automatic),73.5,5357.75,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,2.45,No
Male,0,Yes,No,72,5787-KXGIY,Two year,No,Credit card (automatic),19.3,1304.8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6433333333333333,No
Female,0,Yes,Yes,34,5788-YPOEG,Two year,No,Mailed check,84.75,2839.45,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2.825,No
Male,0,No,No,24,5789-LDFXO,One year,No,Electronic check,24.6,592.65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8200000000000001,No
Female,0,Yes,Yes,56,5791-KAJFD,One year,Yes,Bank transfer (automatic),68.75,3808.0,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,2.2916666666666665,No
Female,1,No,No,52,5792-JALQC,Two year,No,Bank transfer (automatic),59.85,3103.25,Yes,Yes,DSL,Yes,No,Yes,No,No,No,1.995,No
Female,0,Yes,Yes,55,5793-YOLJN,Two year,No,Mailed check,21.0,1210.3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.7,No
Female,0,Yes,Yes,69,5795-BKOYE,One year,No,Bank transfer (automatic),59.1,4134.7,Yes,No,DSL,No,Yes,Yes,Yes,No,No,1.97,No
Female,0,Yes,No,68,5795-KTGUD,Two year,Yes,Bank transfer (automatic),110.8,7553.6,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,3.6933333333333334,No
Female,0,No,No,1,5797-APWZC,Month-to-month,No,Electronic check,90.6,90.6,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,3.02,Yes
Female,0,No,Yes,63,5799-JRCZO,Two year,No,Credit card (automatic),19.5,1215.1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.65,No
Female,0,Yes,No,50,5802-ADBRC,One year,Yes,Mailed check,104.4,5232.9,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,3.48,No
Male,0,Yes,No,72,5803-NQJZO,Two year,Yes,Bank transfer (automatic),67.8,4804.65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,2.26,No
Male,0,Yes,Yes,70,5804-HYIEZ,Month-to-month,Yes,Electronic check,106.05,7554.05,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,3.5349999999999997,No
Female,0,Yes,Yes,39,5804-JMYIO,Two year,No,Mailed check,19.75,757.95,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6583333333333333,No
Female,1,No,No,2,5804-LEPIM,Month-to-month,Yes,Electronic check,70.35,139.05,Yes,No,Fiber optic,No,No,No,No,No,No,2.3449999999999998,Yes
Female,0,No,Yes,3,5808-TOTXO,One year,Yes,Credit card (automatic),20.55,57.4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.685,No
Female,0,Yes,Yes,52,5811-IWXYM,One year,No,Bank transfer (automatic),101.25,5301.1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,3.375,No
Male,1,No,No,33,5813-UECBU,Month-to-month,Yes,Credit card (automatic),83.85,2716.3,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,2.795,Yes
Male,0,Yes,No,20,5815-HGGHV,One year,Yes,Mailed check,64.15,1274.45,Yes,No,DSL,Yes,No,No,Yes,No,Yes,2.1383333333333336,No
Female,0,Yes,Yes,70,5816-JMLGY,Two year,Yes,Bank transfer (automatic),80.4,5717.85,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,2.68,No
Female,0,No,No,37,5816-QVHRX,Month-to-month,No,Credit card (automatic),100.3,3541.4,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,3.3433333333333333,No
Female,1,No,No,7,5816-SCGFC,Month-to-month,Yes,Mailed check,51.3,419.35,Yes,No,DSL,No,Yes,No,No,No,No,1.71,No
Female,1,Yes,No,56,5820-PTRYM,One year,Yes,Credit card (automatic),68.45,4014.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,2.2816666666666667,No
Female,0,Yes,No,57,5821-MMEIL,Two year,No,Bank transfer (automatic),19.9,1115.6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6633333333333333,No
Male,0,No,Yes,48,5825-XJOCM,One year,Yes,Bank transfer (automatic),64.4,3035.35,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,2.146666666666667,No
Male,0,Yes,Yes,56,5827-MWCZK,Month-to-month,Yes,Credit card (automatic),96.95,5432.2,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,3.231666666666667,No
